127.0.0.1 - - [07/Aug/2017:09:42:51 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:54 +0800] "GET /XuptSta/ HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:54 +0800] "GET /XuptSta/UEditor/ueditor.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:54 +0800] "GET /XuptSta/UEditor/ueditor.all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:54 +0800] "GET /XuptSta/UEditor/lang/zh-cn/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:55 +0800] "GET /XuptSta/UEditor/themes/default/css/ueditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:55 +0800] "GET /XuptSta/UEditor/themes/default/images/icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:55 +0800] "GET /XuptSta/UEditor/themes/default/images/scale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:55 +0800] "GET /XuptSta/UEditor/themes/default/images/charts.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:55 +0800] "GET /XuptSta/UEditor/themes/iframe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:09:42:56 +0800] "GET /XuptSta/UEditor/jsp/controller.jsp?action=config&&noCache=1502070175904 HTTP/1.1" 200 2545
